PostingId,PostName,Count,Hierarchy
1,தலைமை ஒருங்கிணைப்பாளர்,1,1
2,மாநில ஒருங்கிணைப்பாளர்,12,2
3,மாநில செயலாளர்,12,2
4,மாநில பொருளாளர்,12,2 
5,மண்டல தலைவர்,1,3 
6,மண்டல துணை தலைவர்,2,3
7,மண்டல செயலாளர்,1,3
8,மண்டல பொருளாளர்,1,3
9,மாவட்ட தலைவர்,1,4
10,மாவட்ட துணை தலைவர்,2,4
11,மாவட்ட செயலாளர்,1,4
12,மாவட்ட பொருளாளர்,1,4
13,தொகுதி  Vetapalar,1,5
14,தொகுதி  செயலாளர்,1,5
15,தொகுதி  பொருளாளர்,1,5
16,தொகுதி  செய்தி தொடர்பாளர்,1,5
17,ஒன்றிய  தலைவர்,1,6
18,ஒன்றிய  துணை தலைவர்,2,6
19,ஒன்றிய  செயலாளர்,1,6
20,ஒன்றிய  பொருளாளர்,1,6
21,பூத்  பொறுப்பாளர்,2,7
